system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
137_0,2404.0,2090.0,1109.0,1510.0,1794.5,1912.0,1902.5,1945.0,1909.0,1883.0,0.0656612,0.11670079,-0.045261316,-0.1147693,0.0309167,37.78036,911.0,134.24388,3.5160704,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,3871.0,3546.0,1049.0,1577.0,2187.0,2395.0,2460.0,2584.0,2613.0,2575.0,0.13534981,0.24725537,-0.15148564,-0.19401604,0.08875,210.26897,1322.0,165.83995,35.45981,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,3510.0,3039.0,1201.0,1793.0,2315.0,2516.0,2560.0,2650.0,2549.0,2561.0,0.07870837,0.17411332,-0.0876879,-0.15860704,0.04810855,-0.0,1003.0,157.04022,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,3619.5,3107.0,1167.5,1711.0,2235.5,2470.5,2571.5,2621.5,2622.0,2584.0,0.1327312,0.21024694,-0.084657006,-0.15981735,0.07956768,158.84642,802.0,130.78674,2.98082,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,3137.5,2712.0,1092.6666,1568.0,2082.5,2245.75,2312.0,2359.5,2318.0,2312.0,0.08894848,0.19300051,-0.07833002,-0.15021537,0.053516645,28.526733,1145.0,156.72816,15.449167,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,3474.0,2798.0,1058.5,1527.5,2232.0,2445.0,2632.5,2876.5,3036.5,3081.5,0.23687543,0.33063102,0.04087754,-0.06719914,0.1527,90.0,878.0,141.64429,1.0785854,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,3411.0,2918.5,1334.6666,1858.0,2484.0,2698.0,2718.5,2756.5,2747.0,2760.0,0.08603768,0.19305103,-0.030270938,-0.10782722,0.050277192,31.471546,1195.0,166.02258,19.83002,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,3327.0,2880.0,1094.0,1594.0,2227.0,2440.0,2479.0,2526.0,2462.0,2509.0,0.07709974,0.21400395,-0.078247845,-0.14942132,0.050117295,166.8909,901.0,128.19788,9.436813,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,4074.0,3667.0,1193.0,1752.5,2496.0,2757.0,2814.0,2886.0,2824.5,2808.0,0.092754684,0.23421454,-0.1297851,-0.18112633,0.061742317,270.0,1106.0,161.5501,1.0785978,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,3842.0,3533.5,1117.5,1647.0,2234.0,2415.0,2454.5,2549.5,2516.0,2490.0,0.09350443,0.20874369,-0.16819572,-0.20855615,0.05936842,122.86613,808.0,130.78674,5.113678,"{""type"":""MultiPoint"",""coordinates"":[]}"
